nroCuenta,usuarios,saldo,fechaAlta,tipoCuenta,idCuentaMP,activo
1,25123456,15000.50,10-01-2024,premium,a1b2c3,true
2,30987654|31000111,500.00,15-02-2024,basica,d4e5f6,true
3,28765432,0.00,20-03-2024,basica,g7h8i9,false
4,40111222|41222333|42333444,120500.75,01-05-2024,premium,j1k2l3,true
5,35666777,750.25,10-06-2024,basica,m4n5o6,true
6,32444555,9900.00,22-07-2024,premium,p7q8r9,true
7,29888999|29777888,1200.00,05-08-2024,basica,s1t2u3,true
8,34555666,50000.00,18-09-2024,premium,v4w5x6,true
9,38121212,10.00,30-10-2024,basica,y7z8a9,false
10,27654321|41222333,250000.00,05-11-2024,premium,b1c2d3,true
11,44555666,250.00,15-01-2025,basica,e4f5g6,true
12,50111222|51222333,85000.00,20-01-2024,premium,h7i8j9,true
13,47888999,350.75,05-02-2024,basica,k1l2m3,true
14,52333444|53444555,150000.25,15-03-2024,premium,n4o5p6,true
15,49666777,25.50,25-04-2024,basica,q7r8s9,true
16,55111222,78000.00,10-05-2024,premium,t1u2v3,true
17,52888999|52777888,1800.00,20-06-2024,basica,w4x5y6,true
18,57333444,450000.75,05-07-2024,premium,z7a8b9,true
19,54666777,5.00,15-08-2024,basica,c1d2e3,false
20,60111222|61222333,95000.50,25-09-2024,premium,f4g5h6,true
21,57888999,120.25,10-10-2024,basica,i7j8k9,true
22,62333444,320000.00,20-11-2024,premium,l1m2n3,true
23,59666777|59777888,2200.75,05-12-2024,basica,o4p5q6,true
24,65111222,125000.25,15-01-2025,premium,r7s8t9,true
25,62888999,75.00,25-02-2025,basica,u1v2w3,true
26,67333444|67444555,275000.50,10-03-2025,premium,x4y5z6,true
27,64666777,15.25,20-04-2025,basica,a7b8c9,true
28,70111222,68000.75,05-05-2025,premium,d1e2f3,true
29,67888999,450.00,15-06-2025,basica,g4h5i6,true
30,72333444,185000.00,25-07-2025,premium,j7k8l9,true
